title,tags,url,time,Open,High,Low,Close,Adj Close,Volume,profit,profit (%),label
"Petrobras: Menos é mais, assim como nos casamentos","['Comprar ou vender?', 'Petrobras', 'Petróleo']",https://www.moneytimes.com.br/petrobras-menos-e-mais-assim-como-nos-casamentos/,00:31:00,13.6,13.69,13.4,13.66,5.028104,61094100,0.004411764705882389,0.44,2
Quer comprar ação da Petrobras? Passa lá no posto Ipiranga,"['Comprar ou vender?', 'Fusões & Aquisições', 'Petrobras', 'Ultrapar']",https://www.moneytimes.com.br/quer-comprar-acao-da-petrobras-passa-la-no-posto-ipiranga/,12:52:00,15.05,15.58,14.88,15.58,5.734836,59122000,0.035215946843853776,3.52,2
George Soros volta a comprar ação da Petrobras; veja o portfólio do bilionário,"['George Soros', 'Petrobras']",https://www.moneytimes.com.br/george-soros-volta-a-comprar-acao-da-petrobras-veja-o-portfolio-do-bilionario/,12:22:00,15.72,15.99,15.53,15.85,5.834219,42490100,0.008269720101781107,0.83,2
Itaú BBA remove ação da Petrobras de carteira Top 5,"['Ambev', 'Comprar ou vender?', 'Itaú BBA', 'Petrobras']",https://www.moneytimes.com.br/itau-bba-remove-acao-da-petrobras-de-carteira-top-5/,15:13:00,15.2,15.56,15.2,15.46,5.690664,38747500,0.017105263157894842,1.71,2
Vem aí o novo velho Ibovespa,"['Banco do Brasil', 'BRF', 'Comprar ou vender?', 'Embraer', 'JBS', 'Petrobras', 'Vale']",https://www.moneytimes.com.br/vem-ai-o-novo-velho-ibovespa/,08:59:00,15.2,15.56,15.2,15.46,5.690664,38747500,0.017105263157894842,1.71,2
Petrobras dispara quase 5% em NY com OPEP nesta manhã,"['Opep', 'Petrobras', 'Petróleo']",https://www.moneytimes.com.br/petrobras-dispara-quase-5-em-ny-com-opep-nesta-manha/,10:16:00,15.9,16.190001,15.61,16.0,5.889433,82547300,0.006289308176100607,0.63,2
"Se OPEP não blefar, Petrobras vai às alturas e entra em tendência de alta","['Comprar ou vender?', 'Opep', 'Petrobras', 'Petróleo']",https://www.moneytimes.com.br/se-opep-nao-blefar-petrobras-vai-as-alturas-e-entra-em-tendencia-de-alta/,14:47:00,15.9,16.190001,15.61,16.0,5.889433,82547300,0.006289308176100607,0.63,2
Petrobras: Dia é decisivo para tendência de alta das ações após Opep,"['Benndorf', 'Bolsa', 'Comprar ou vender?', 'Petrobras']",https://www.moneytimes.com.br/petrobras-dia-e-decisivo-para-tendencia-de-alta-das-acoes-apos-opep/,11:59:00,16.0,16.35,15.33,15.44,5.683302,66775400,-0.03500000000000003,-3.5,0
"Ação da Petrobras precisa se consolidar acima de R$ 16,08, diz Citi","['Citi', 'Comprar ou vender?', 'Petrobras']",https://www.moneytimes.com.br/acao-da-petrobras-precisa-se-consolidar-acima-de-r-1608-diz-citi/,13:25:00,16.01,16.09,15.55,15.66,5.764283,47586500,-0.021861336664584723,-2.19,0
"Petrobras passou em teste de credibilidade do mercado, diz BTG Pactual","['BTG Pactual', 'Comprar ou vender?', 'Diesel', 'Gasolina', 'Petrobras']",https://www.moneytimes.com.br/petrobras-passou-em-teste-de-credibilidade-do-mercado-diz-btg-pactual/,10:47:00,16.0,16.200001,15.74,16.15,5.944647,63916700,0.009374999999999911,0.94,2
O que esperar da Petrobras em 2017?,"['Braskem', 'Comprar ou vender?', 'Perspectivas 2017', 'Petrobras', 'PetroRio', 'QGEP', 'Santander', 'Ultrapar']",https://www.moneytimes.com.br/o-que-esperar-da-petrobras-em-2017/,13:34:00,16.299999,16.33,15.77,15.86,5.837901,50247400,-0.02699380533704329,-2.7,0
Bradesco corta preço-alvo para ações da Petrobras,"['Bradesco', 'Comprar ou vender?', 'Petrobras']",https://www.moneytimes.com.br/bradesco-corta-preco-alvo-para-acoes-da-petrobras/,13:29:00,15.97,16.0,15.52,15.7,5.779006,41104800,-0.01690670006261749,-1.69,0
"Queda da Petrobras na Bolsa hoje é oportunidade de compra, diz analista","['Comprar ou vender?', 'Petrobras', 'Santander', 'TCU']",https://www.moneytimes.com.br/queda-da-petrobras-na-bolsa-hoje-e-oportunidade-de-compra-diz-analista/,16:12:00,15.97,16.0,15.52,15.7,5.779006,41104800,-0.01690670006261749,-1.69,0
"Postos da BR perdem para Ipiranga e Shell em preferência do consumidor, mostra pesquisa","['BR Distribuidora', 'Ipiranga', 'Petrobras', 'Raízen', 'Shell', 'UBS', 'Ultrapar']",https://www.moneytimes.com.br/postos-da-br-perdem-para-ipiranga-e-shell-em-preferencia-do-consumidor-mostra-pesquisa/,12:04:00,14.46,14.59,14.1,14.35,5.282086,31810000,-0.007607192254495242,-0.76,0
Itaú coloca Petrobras em carteira Top 5; veja lista,"['Ambev', 'Carteira Recomendada', 'Comprar ou vender?', 'Itaú BBA', 'Petrobras']",https://www.moneytimes.com.br/itau-coloca-petrobras-em-carteira-top-5-veja-lista/,12:19:00,16.15,16.25,15.9,15.9,5.852624,49890300,-0.015479876160990603,-1.55,0
